STUDENT_ID,GENDER,GRADE_LEVEL,PARENT_EDUCATION_LEVEL,FAMILY_INCOME,AVERAGE_SCORE,PASS_FAIL_RATE,ATTENDANCE_PERCENT,ACTIVITY_FLAG,ACTIVITY_HOURS,HIGHEST_ACHIEVEMENT,DISCIPLINE_COUNT,DISCIPLINE_SEVERITY,PRIMARY_INCIDENT_TYPE,AVG_TEACHER_RATING,AVG_TEACHER_EXPERIENCE
S1000,Male,1,Bachelor,306787,47.38,1,85.54,1,5.13,State,2,1,Bullying,3.90,8.00
S1001,Male,12,None,759570,60.14,1,85.21,1,7.57,State,,,,4.10,24.00
S1002,Female,1,None,148246,57.86,1,83.90,1,6.17,State,1,1,Bullying,,
S1003,Male,9,PhD,77824,49.61,1,85.98,1,6.50,School,4,2,Bullying,,
S1004,Female,4,Master,667889,53.03,1,82.69,1,7.25,State,3,3,Bullying,3.50,22.50
S1005,Male,3,Master,406778,45.11,1,86.53,1,3.00,State,2,3,Bullying,2.30,26.00
S1006,Male,4,Bachelor,157175,52.08,1,85.54,1,11.67,State,2,3,Late Submission,3.08,18.25
S1007,Female,2,Bachelor,938662,58.73,1,86.53,1,7.50,State,5,3,Late Submission,2.90,27.00
S1008,Female,1,Master,612275,50.87,1,86.20,1,9.43,State,3,3,Bullying,,
S1009,Female,2,PhD,357419,46.67,1,87.19,1,8.67,State,1,3,Cheating,4.80,22.00
S1010,Male,12,None,98050,49.88,1,84.56,1,9.00,State,4,3,Bullying,4.23,24.00
S1011,Female,2,High School,958573,52.03,1,85.54,,,,5,3,Bullying,3.50,9.00
S1012,Female,5,Master,716563,51.33,1,85.43,1,4.75,School,4,1,Cheating,4.75,14.50
S1013,Male,6,Bachelor,269684,48.93,1,85.21,1,5.13,State,6,2,Cheating,2.30,18.00
S1014,Male,10,High School,610086,53.95,1,85.76,1,9.33,State,7,3,Cheating,2.10,16.00
S1015,Male,8,Master,333060,51.13,1,86.75,1,4.67,State,6,3,Cheating,3.50,20.00
S1016,Female,1,High School,911722,54.24,1,83.46,1,5.86,State,3,3,Misconduct,3.60,23.00
S1017,Female,7,Bachelor,119403,43.57,1,84.23,1,5.75,State,4,3,Bullying,2.70,11.00
S1018,Female,4,Master,464850,58.23,1,85.87,1,2.25,None,6,3,Late Submission,3.40,28.00
S1019,Male,5,High School,308607,53.34,1,84.99,1,7.67,State,4,2,Bullying,2.90,13.50
S1020,Female,10,Master,429580,48.65,1,83.68,1,6.17,State,1,1,Late Submission,3.18,15.50
S1021,Male,9,Master,145325,46.29,1,86.20,1,9.67,State,5,3,Late Submission,4.40,4.00
S1022,Male,3,High School,880555,51.44,1,84.88,1,14.50,School,1,1,Cheating,4.80,23.00
S1023,Male,7,Master,674834,58.58,1,85.21,1,6.60,State,5,3,Bullying,3.25,16.50
S1024,Female,9,None,763328,46.00,1,84.12,1,5.33,School,3,3,Misconduct,3.50,14.50
S1025,Female,11,Bachelor,166970,51.45,1,84.88,1,7.50,State,4,3,Misconduct,2.20,17.00
S1026,Female,3,Master,53402,59.79,1,85.76,1,8.86,State,4,3,Cheating,3.75,13.50
S1027,Male,9,None,962804,45.82,1,86.09,1,8.00,State,4,3,Bullying,3.60,24.00
S1028,Male,3,Bachelor,849550,46.31,1,84.45,1,5.60,State,7,3,Misconduct,,
S1029,Male,10,Bachelor,562340,41.15,1,84.23,1,5.75,School,2,1,Bullying,2.40,25.33
S1030,Male,6,Bachelor,301083,43.56,1,84.45,1,6.50,School,2,3,Misconduct,4.15,25.00
S1031,Male,10,None,139814,54.90,1,85.21,1,4.25,State,7,3,Misconduct,2.95,25.00
S1032,Male,9,High School,184628,48.66,1,84.45,1,7.57,State,,,,4.00,14.00
S1033,Male,5,PhD,964812,51.18,1,84.99,1,5.00,School,3,3,Other,2.80,19.00
S1034,Male,9,High School,797581,52.33,1,86.42,1,5.67,School,2,2,Cheating,3.30,29.00
S1035,Female,11,Bachelor,509381,49.11,1,85.76,1,8.30,State,3,3,Bullying,4.45,15.00
S1036,Male,4,High School,117136,44.56,1,84.45,1,6.80,State,1,3,Other,,
S1037,Male,10,PhD,291292,50.37,1,86.31,1,8.33,School,3,2,Other,,
S1038,Male,2,None,290062,46.32,1,84.88,1,7.75,School,3,3,Bullying,3.15,7.00
S1039,Male,6,None,589131,50.85,1,84.12,1,6.00,State,2,3,Late Submission,2.10,20.00
S1040,Female,11,Master,274643,53.37,1,87.19,1,1.00,School,5,3,Other,4.00,6.00
S1041,Female,4,Master,896721,50.38,1,85.65,1,9.33,State,2,2,Cheating,4.30,19.50
S1042,Male,2,None,740993,54.51,1,85.43,1,7.75,State,2,3,Cheating,3.30,10.67
S1043,Female,7,Master,539710,55.11,1,86.20,1,10.20,State,7,3,Misconduct,3.95,6.50
S1044,Male,1,Master,813587,55.43,1,84.78,1,7.00,School,6,3,Bullying,3.65,10.00
S1045,Male,4,High School,249448,51.85,1,82.58,1,5.33,State,2,3,Cheating,3.20,11.67
S1046,Male,7,High School,342075,43.00,1,87.40,1,8.10,State,2,3,Bullying,,
S1047,Male,2,Master,897272,44.32,1,84.88,1,11.40,State,2,3,Cheating,4.70,35.00
S1048,Male,11,PhD,926638,48.68,1,84.88,1,7.80,State,2,1,Bullying,4.70,13.00
